"S3"
"naive" 0.371612863751452
"Donnelly" 0.347453473733914
"cdf" 0.368175157667272
"S4"
"naive" 0.274773691472325
"Donnelly" 0.253919051023834
"cdf" 0.270912568652525
"S6"
"naive" 0.232384900456693
"Donnelly" 0.20749114707574
"cdf" 0.228905927377495
"S7"
"naive" 0.434774808537679
"Donnelly" 0.415935191856942
"cdf" 0.431337171519282
"S8"
"naive" 0.450782544247317
"Donnelly" 0.427458367885739
"cdf" 0.446802767503622
"S9"
"naive" 0.361546280981541
"Donnelly" 0.326381098808647
"cdf" 0.357379898414682
"S10"
"naive" 0.351472846376532
"Donnelly" 0.283014768787123
"cdf" 0.347720982241313
"S11"
"naive" 0.275819210290373
"Donnelly" 0.235844557268152
"cdf" 0.272194489324382
