Participant,1,2,3,4,5,6,7,8
"Aggregation Index, R",0.347453473733914,0.253919051023834,0.20749114707574,0.415935191856942,0.427458367885739,0.326381098808647,0.283014768787123,0.235844557268152
p value,4.79E-13,1.10E-09,6.27E-07,2.22E-16,3.71E-14,8.44E-08,0.008639,0.001161
