190,97,cold
215,145,inconsistent
264,97,cold
297,58,both
303,117,inconsistent
327,82,cold
334,116,inconsistent
362,104,inconsistent
385,118,both
397,163,both
420,109,both
468,170,cold
471,202,both
514,198,cold
520,82,incongruous
535,94,cold
571,211,inconsistent
581,187,both
608,67,cold
614,202,cold
616,90,cold
641,203,inconsistent
644,100,inconsistent
646,57,inconsistent
656,80,incongruous
697,89,cold
719,65,cold
737,82,inconsistent
756,108,inconsistent
767,141,inconsistent
787,40,incongruous
791,70,inconsistent
800,108,cold
829,59,both
858,65,cold
871,108,cold
881,63,inconsistent
882,38,cold
898,96,incongruous
902,57,inconsistent
913,109,cold
926,120,inconsistent
931,104,inconsistent
958,57,inconsistent
982,81,cold
