0,1,2
576,208,inconsistent
731,180,warm
760,214,warm
785,212,both
794,183,inconsistent
835,201,both
155,158,inconsistent
667,190,inconsistent
685,205,cold
741,196,inconsistent
747,248,cold
791,197,inconsistent
799,181,inconsistent
153,175,inconsistent
202,245,inconsistent
270,184,cold
344,225,cold
365,212,inconsistent
373,280,cold
420,259,cold
442,284,inconsistent
533,155,warm
581,174,cold
618,168,both
670,168,inconsistent
681,159,inconsistent
723,191,incongruous
744,179,inconsistent
795,161,inconsistent
822,218,inconsistent
833,204,inconsistent
711,246,cold
753,239,inconsistent
770,190,warm
822,222,inconsistent
