0,1,2
451,186,cold
502,190,cold
561,197,inconsistent
581,219,inconsistent
584,205,cold
848,264,cold
862,231,inconsistent
903,261,cold
444,211,cold
449,253,warm
464,229,inconsistent
538,213,warm
557,229,inconsistent
571,286,inconsistent
621,232,inconsistent
890,205,inconsistent
919,238,inconsistent
939,240,both
296,182,cold
321,143,inconsistent
350,222,warm
366,177,cold
448,180,warm
458,152,cold
525,212,cold
534,238,cold
561,244,warm
569,231,cold
662,218,warm
666,268,inconsistent
676,233,warm
687,267,inconsistent
697,216,warm
862,219,cold
885,195,cold
947,195,warm
955,212,cold
972,260,warm
974,234,inconsistent
1005,207,inconsistent
1012,230,cold
1026,244,warm
573,248,cold
609,248,inconsistent
627,209,inconsistent
850,227,cold
876,245,inconsistent
921,252,cold
944,222,cold
959,216,cold
971,224,cold
