0,1,2
350,302,inconsistent
378,291,warm
415,301,cold
444,294,inconsistent
452,321,cold
537,219,inconsistent
560,248,warm
573,228,both
819,261,inconsistent
818,277,warm
858,277,warm
919,263,cold
935,290,both
946,297,warm
959,263,inconsistent
987,296,inconsistent
247,186,inconsistent
269,201,warm
304,202,inconsistent
356,210,warm
376,185,warm
385,211,warm
672,234,warm
718,254,both
767,259,warm
777,245,incongruous
791,316,inconsistent
820,296,warm
847,294,warm
860,311,warm
860,269,inconsistent
879,280,warm
932,314,inconsistent
212,185,cold
213,224,cold
217,205,warm
233,184,warm
233,299,both
377,314,cold
386,302,cold
421,250,cold
489,212,inconsistent
525,225,cold
535,245,inconsistent
559,265,inconsistent
591,286,inconsistent
823,229,cold
833,251,inconsistent
942,251,inconsistent
945,268,inconsistent
956,284,cold
964,242,inconsistent
970,305,cold
989,262,inconsistent
1013,244,cold
205,170,cold
226,153,warm
246,169,cold
253,202,inconsistent
272,175,cold
296,164,both
302,198,inconsistent
325,231,cold
349,200,cold
409,177,cold
494,271,cold
496,216,cold
510,242,cold
531,255,cold
534,308,cold
542,216,inconsistent
553,324,cold
674,245,cold
750,224,cold
765,249,cold
824,309,warm
831,294,inconsistent
849,226,cold
854,312,cold
948,311,inconsistent
